record_type,id,title,category_or_severity,species,content_hash,review_status,reviewer,license_number,reviewed_at,production_eligible
knowledge_card,OS-GI-001,犬突然出现轻度腹泻,gastrointestinal,dog,34862cdc931a5ff3ef51718e581e9b61f815f043b39720063d0d66c67adfe698,pending,,,,false
knowledge_card,OS-GI-002,犬腹泻时需要记录哪些信息,gastrointestinal,dog,386ac37767b08b1e764042e01c4b972c0c97f49f66f927db24929daeae9b6688,pending,,,,false
knowledge_card,OS-GI-003,犬腹泻是否可以自行用抗生素,gastrointestinal,dog,613c3ae622718de8701361a7a90d0cb5deee15e0be8c77c02516092c6f94ed8d,pending,,,,false
knowledge_card,OS-RESP-001,猫打喷嚏并有鼻眼分泌物,respiratory,cat,b153b9e98a0273eb5da9b87a93f097fe352ec593f5d85f2d4e73abfc2eafdabd,pending,,,,false
knowledge_card,OS-RESP-002,犬持续咳嗽,respiratory,dog,e5b344b042f1817e48ff47517ebd57da80241c00596c37ac297f6876f3d444ef,pending,,,,false
knowledge_card,OS-RESP-003,猫狗呼吸道症状是否需要抗生素,respiratory,cat/dog,36708afce2dbcde67be669d876bd40919f68ba6bb3e5f59889cf0a2b476a19ee,pending,,,,false
knowledge_card,OS-EAR-001,犬频繁抓耳或甩头,ear,dog,abc91f6ce75debebc045527f80cbfa867171deda563d5820c029b7176453eab7,pending,,,,false
knowledge_card,OS-EAR-002,犬耳朵异味和分泌物,ear,dog,cab536a83fc3ba7b7f644648b1fa301d14b95c93b395a4d5d3b0173411d09d3c,pending,,,,false
knowledge_card,OS-EAR-003,猫耳朵很脏并抓挠,ear,cat,1a599177514984e870e51f54a69f540e0c2255d9e94e1f26539bdf656f135c7e,pending,,,,false
knowledge_card,OS-ORAL-001,猫口臭,oral,cat,34cdcdd3de3d06ada8e111181c27695a98a2b2c3bd6b78e4c3c3a8efe5972f7e,pending,,,,false
knowledge_card,OS-ORAL-002,猫牙齿有牙结石,oral,cat,b62f8cd283ef2f596094f1459a3a6eb8a7b735e6e4a76e2da577df6a5f2b1600,pending,,,,false
knowledge_card,OS-ORAL-003,犬牙龈红和口臭,oral,dog,35e576ec2004f4828155e830c5035d39d72ac2eb3dd665e586fafa4be8229ddb,pending,,,,false
knowledge_card,OS-ORAL-004,猫可能出现口腔疼痛的表现,oral,cat,f61feaf5016e835d08a467c272046f69fecad13c5a81564b94ad6e7f028a7d5d,pending,,,,false
