record_type,id,title,category_or_severity,species,content_hash,review_status,reviewer,license_number,reviewed_at,production_eligible
knowledge_card,OS-GI-001,犬突然出现轻度腹泻,gastrointestinal,dog,e8bd9d3e6ec06095b27bc841f4dd932cc9fc592ec67b9cdcfdbb21ed90131f90,pending,,,,false
knowledge_card,OS-GI-002,犬腹泻时需要记录哪些信息,gastrointestinal,dog,0cca9bb72065cf99f97305fa205e99b166b374a9ff7c5c7b3406e7a54fe2b1f4,pending,,,,false
knowledge_card,OS-GI-003,犬腹泻是否可以自行用抗生素,gastrointestinal,dog,577913695c50e9f79ca9aaef92b3dad62d6076e85487c1793c5be1d89b57046a,pending,,,,false
knowledge_card,OS-RESP-001,猫打喷嚏并有鼻眼分泌物,respiratory,cat,3f79475ebb049cfe42453e6b0ad6cae3a121714615d5ea3252a88ac4695f7e9e,pending,,,,false
knowledge_card,OS-RESP-002,犬持续咳嗽,respiratory,dog,468f97f6c56fc84d8bd3419d1c5de5662255c37106b64f681874a78cd9cd8fb6,pending,,,,false
knowledge_card,OS-RESP-003,猫狗呼吸道症状是否需要抗生素,respiratory,cat|dog,ef09545e9cbaaebc6a8183f823e9a295604158ab31627238234f0223ff98504d,pending,,,,false
knowledge_card,OS-EAR-001,犬频繁抓耳或甩头,ear,dog,f3d35b14840e94a8148cf745f71efe03bdf6e743a54bb4637ab2f9d46fc54ac9,pending,,,,false
knowledge_card,OS-EAR-002,犬耳朵异味和分泌物,ear,dog,42b3e642ed62a0b7b2ab2f2cd746cf3f0e4a799d8219c468c22e75eb35fcf356,pending,,,,false
knowledge_card,OS-EAR-003,猫耳朵很脏并抓挠,ear,cat,a11afe1a6a0655651a89efde9f576b18589888032988bbc7f95d927c8ea56aa9,pending,,,,false
knowledge_card,OS-ORAL-001,猫口臭,oral,cat,f6d18417ed054833626aad0d3f07ea776a61138fc3316128b8fdc5c06dd00d27,pending,,,,false
knowledge_card,OS-ORAL-002,猫牙齿有牙结石,oral,cat,5ad12438da691e4d6fcceab3d5fb4406fc0a6f2a26fc6a3fdaf35bfefc2a2194,pending,,,,false
knowledge_card,OS-ORAL-003,犬牙龈红和口臭,oral,dog,faa699244e9d24d144395ee48f05bb6f02899836c07c00e2c5f71a8520e51a20,pending,,,,false
knowledge_card,OS-ORAL-004,猫可能出现口腔疼痛的表现,oral,cat,8092a7f0595d95b7f7a1ba5b863e1e6fc6f24944b2a1530bb4bc862dc10019da,pending,,,,false
knowledge_card,OS-MSK-001,犬起身僵硬或活动减少,musculoskeletal,dog,104c08d1735f1633149ace864f2e63a67e04727465a79541930d080b866fd02d,pending,,,,false
knowledge_card,OS-MSK-002,猫减少跳跃,musculoskeletal,cat,fe1581b27d0cfef210fbda01b2d9520bb96f9e23a1dc8541e8516026ee9db0dd,pending,,,,false
knowledge_card,OS-MSK-003,老年猫狗活动变化需要记录什么,musculoskeletal,cat|dog,e4b8319942e60ad9ca7b896e14b21a88bd538bef0b68c7084b029fed124afcfd,pending,,,,false
knowledge_card,OS-UR-001,猫频繁进猫砂盆但尿量很少,urinary,cat,381aac3c0e21de8a0073094249f859b251282f115cf55fa504fbd7760be9d229,pending,,,,false
knowledge_card,OS-UR-002,猫尿中带血,urinary,cat,5f061fd220cff5e725c21f8aed0e6c3ac093d1717eb735afe6a293c30ca61c52,pending,,,,false
knowledge_card,OS-UR-003,猫尿道阻塞风险,urinary,cat,534dd9ff6fabfc0fd2f2aa70494a976b83b939d3250441f8e72e36d21cc9f764,pending,,,,false
knowledge_card,OS-SKIN-001,犬反复瘙痒,dermatology,dog,daf99f1afea20036e1a1d3d06ba48f8e1e7c8261caa27eaf811661ab633fbccb,pending,,,,false
knowledge_card,OS-SKIN-002,犬舔爪和耳朵反复不适,dermatology,dog,ad2d1a5a1e84ee9c4d2772a5915ca296fc8d956096e61f49c9aaa6bf0725f163,pending,,,,false
knowledge_card,OS-SKIN-003,猫狗局部脱毛不能只凭照片判断,dermatology,cat|dog,af7595b97a620a642ce110eea1887968c2df9cfcce17b5a11c7430a5da12caca,pending,,,,false
knowledge_card,OS-BEH-001,猫到新环境后躲藏,behavior,cat,8bddfd7ec2dd50ce50415162bc17f95cc4d915c2690ff3de223ba7910bb62dd3,pending,,,,false
knowledge_card,OS-BEH-002,室内猫环境丰富化,behavior,cat,f331e0dceb1d84ddd7846b77c070f24c807d1bf0be8b1fb58ace2b1df58e6a06,pending,,,,false
knowledge_card,OS-VAX-001,幼猫幼犬疫苗计划,preventive_care,cat|dog,4e1760a8c61b5e01135023c5207eb48a31748d8f56feb20178d3e792a1663f52,pending,,,,false
knowledge_card,OS-VAX-002,猫注射部位出现肿块,preventive_care,cat,2927cc5b1982fcd3f388471c469e3004f1df75f2472ec8936fc40a99668651aa,pending,,,,false
